"d_code","j_code","flow1_tot","flow2_tot"
11530510,1.117051e+12,86451762.16581,83678485.88315
11530510,1117051010001,44507.90715,30302.45748
11530510,1117051010002,9239.00627,7286.48278
11530510,1117051010003,21077.40763,12893.89364
11530510,1117051010004,4437.36593,5133.8209
11530510,1117051010005,3930.3551,4749.77346
11530510,1117051010006,14219.2946,20805.50913
11530510,1117051010007,16573.30054,10707.97221
11530510,1117051010008,15721.85746,15083.94667
11530510,1117051010101,7916.63278,13674.35344
11530510,1117051010102,1481.49438,3455.97053
11530510,1117051010103,3876.99562,8926.50075
11530510,1117051010104,1036.01093,3673.55465
11530510,1117051010105,2286.0847,5374.95107
11530510,1117051010106,4738.8496,9954.54731
11530510,1117051010107,6593.09507,4401.66461
11530510,1117051010201,2825.50195,3078.72494
11530510,1117051010202,3498.4299,4688.12309
11530510,1117051010301,7324.7042,10734.70687
11530510,1117051010401,1721.01285,1594.3049
11530510,1117051010402,2167.50403,1622.79587
11530510,1117051010501,1324.37012,2253.77021
11530510,1117051010601,3566.25022,4355.33636
11530510,1117051010602,598.10216,1852.79394
11530510,1117051010701,3965.91169,10968.52914
11530510,1117051010702,6622.28736,15281.59409
11530510,1117051010703,7062.76747,16618.81622
11530510,1117051010704,4281.13048,6386.99928
11530510,1117051020003,56758.57126,26043.91811
11530510,1117051020101,13949.50335,19531.96534
11530510,1117051020102,2677.01761,6486.17047
11530510,1117051020103,16196.70926,22072.77762
11530510,1117051020104,5136.88269,10173.73899
11530510,1117051020105,3099.87046,4746.32576
11530510,1117051020301,8699.55482,5133.00199
11530510,1117051020401,13344.28168,29386.79619
11530510,1117051020402,3207.94784,2434.92913
11530510,1117051020403,5534.68652,7848.41196
11530510,1117051020404,2232.87633,4566.58206
11530510,1117051020405,18086.15428,6727.00849
11530510,1117051020501,13497.29426,13704.25307
11530510,1117051020502,15895.5607,22550.07986
11530510,1117051020503,8268.18502,10313.49124
11530510,1117051020601,3279.66611,6066.16036
11530510,1117051030002,17518.72975,6069.08391
11530510,1117051030003,59742.47151,18913.57149
11530510,1117051030101,8774.73391,7764.37198
11530510,1117051030201,5307.81703,7733.61906
11530510,1117051030301,11152.46452,11606.56772
11530510,1117051030302,10708.42123,15798.69746
11530510,1117051030401,5578.38561,5957.05504
11530510,1117051040001,3083.73481,617.15224
11530510,1117051040002,2867.78842,1561.75888
11530510,1117051040004,1088.40413,0
11530510,1117051040101,8913.35669,12165.57905
11530510,1117051040201,6731.4124,8120.68168
11530510,1117051040202,1940.47923,6227.24135
11530510,1117051040203,1600.4894,7619.33895
11530510,1117051040204,695.71949,3571.89967
11530510,1117051040205,8194.61834,15185.95292
11530510,1117051040206,4341.2202,11482.25668
11530510,1117051040207,2947.98308,7425.03746
11530510,1117051040208,17481.60437,25115.83261
11530510,1117051040209,1069.63029,4381.78031
11530510,1117051040210,4079.34303,8423.10017
11530510,1117051040211,6565.41201,6773.15712
11530510,1117051040212,11410.42544,9666.73814
11530510,1117051040213,7259.41845,9457.17789
11530510,1117051040301,26807.19241,8690.01339
11530510,1117051040401,8342.62418,14077.40314
11530510,1117051040402,6965.72606,13504.98421
11530510,1117051040501,3572.78403,6206.80784
11530510,1117051040502,476.13205,827.97284
11530510,1117051040503,8090.70707,16309.85586
11530510,1117051040601,3824.07009,2026.91769
11530520,1.117052e+12,44319874.65567,51502663.01351
11530520,1117052010001,33828.24994,20403.91184
11530520,1117052010002,46222.04653,32093.52823
11530520,1117052010003,506.30269,0
11530520,1117052010101,7677.03338,12446.59186
11530520,1117052010102,11732.76327,13075.94257
11530520,1117052010103,7120.77885,19213.24426
11530520,1117052010104,4281.636,10163.27836
11530520,1117052010105,5935.00989,8726.25686
11530520,1117052010106,3025.2601,4314.14222
11530520,1117052010107,3132.30711,4254.72916
11530520,1117052010108,3095.23252,5178.6097
11530520,1117052010201,23785.45779,27275.32231
11530520,1117052010202,10683.87324,13099.19331
11530520,1117052010301,6818.90235,11948.42432
11530520,1117052010302,6545.86831,8765.35474
11530520,1117052010401,3229.2111,6299.65187
11530520,1117052010501,2030.18877,5317.04443
11530520,1117052010601,2618.1737,5794.71548
11530520,1117052010701,3217.62829,6157.08488
11530520,1117052010702,3300.56447,6640.84084
11530520,1117052020001,28778.53102,5374.00894
11530520,1117052020003,12.85424,0
11530520,1117052020004,0,0
11530520,1117052020005,0,0
11530520,1117052020006,3896.32695,766.38838
11530520,1117052020101,7937.47187,13222.73079
11530520,1117052020102,6011.62414,9444.87522
11530520,1117052020201,4730.71315,10726.45851
11530520,1117052020202,8341.77545,14430.01149
11530520,1117052020203,3598.26245,9003.69661
11530520,1117052020204,1090.92308,4251.96267
11530520,1117052020205,1226.0329,4400.44582
11530520,1117052020301,4682.12692,7176.94394
11530520,1117052020302,7126.48943,9656.11517
11530520,1117052020303,9289.95435,8059.19526
11530520,1117052020304,6165.47136,10949.03911
11530520,1117052020305,3290.45754,4315.73644
11530520,1117052020306,2394.10962,4240.18785
11530520,1117052020401,11568.18182,18222.12702
11530520,1117052020402,5217.54389,9128.19265
11530520,1117052020403,3630.81636,6845.9366
11530520,1117052020404,4146.63427,7225.13789
11530520,1117052020501,2610.67056,5112.1451
11530520,1117052020502,7668.53948,13327.36158
11530520,1117052020503,5385.66426,9169.56194
11530520,1117052020504,1300.60005,3474.27463
11530520,1117052020701,2679.39526,5162.7631
11530520,1117052020702,3661.6763,7861.4059
11530520,1117052020703,3400.30154,5633.92123
11530520,1117052020801,2295.08938,4747.52111
11530540,1.117054e+12,83651641.77013,67174259.70657
11530540,1117054010001,19551.70764,17733.89758
11530540,1117054010002,104606.4462,41115.39124
11530540,1117054010003,0,0
11530540,1117054010101,3322.21053,7811.81696
11530540,1117054010102,8779.02953,14120.79805
11530540,1117054010103,4259.24211,15812.42432
11530540,1117054010104,2017.18828,2618.94957
11530540,1117054010201,7349.04252,6808.1459
11530540,1117054010202,4183.99407,4576.47199
11530540,1117054010401,3306.61943,7245.73241
11530540,1117054010501,2143.10461,4836.79995
11530540,1117054010502,3335.76606,5241.14081
11530540,1117054010503,9849.02419,25750.80156
11530540,1117054010504,2492.64304,7059.14025
11530540,1117054010505,4873.73221,8602.63123
11530540,1117054010506,3695.7313,9292.30422
11530540,1117054010507,3062.40833,8076.60722
11530540,1117054010601,2845.77609,6760.7749
11530540,1117054010701,2447.96549,4508.83198
11530540,1117054010702,3583.74722,9159.70308
11530540,1117054010703,2203.81313,5553.38804
11530540,1117054020001,31987.59152,37105.86352
11530540,1117054020002,1852.81686,6377.30193
11530540,1117054020003,6500.10793,9076.85979
11530540,1117054020004,2084.2089,8879.44329
11530540,1117054020005,11644.74919,6626.01915
11530540,1117054020006,54358.00718,15459.41323
11530540,1117054020101,1609.43293,7207.34799
11530540,1117054020102,4532.24504,9955.68101
11530540,1117054020103,17023.25067,13689.40721
11530540,1117054020104,1844.42828,3268.88333
11530540,1117054020105,0,66.47922
11530540,1117054020901,1209.36867,6539.57578
11530540,1117054020902,1036.35941,3741.72962
11530540,1117054020903,2058.84039,4897.83125
11530540,1117054030001,33688.90955,23896.91956
11530540,1117054030002,139511.23322,46071.27559
11530540,1117054030003,4646.45068,4933.8024
11530540,1117054040001,5536.15767,9079.66349
11530540,1117054040002,7205.55836,8653.13797
11530540,1117054040003,4062.74732,9683.61481
11530540,1117054040004,85305.51735,45084.89628
11530540,1117054040005,7080.41529,7868.05532
11530540,1117054040006,11185.64987,13808.10249
11530540,1117054040007,6994.52644,11672.9111
11530540,1117054040008,12652.194,16843.58552
11530540,1117054040009,8174.80349,13846.40275
11530540,1117054040010,6681.63809,12891.62732
11530540,1117054040011,579.46368,189.33799
11530540,1117054040301,4063.22485,8731.58053
11530550,1.117055e+12,45324654.08342,45600973.82867
11530550,1117055010001,3376.56246,7274.16008
11530550,1117055010002,8812.1931,11919.71823
11530550,1117055010003,10684.84448,14090.21429
11530550,1117055010004,21693.25735,33794.50561
11530550,1117055010005,11277.0793,6150.98978
11530550,1117055010006,37007.74306,20304.64185
11530550,1117055010201,994.74392,3474.23678
11530550,1117055010601,1521.86034,63.9516
11530550,1117055010602,6287.27217,5026.45219
11530550,1117055010603,3311.42756,439.89945
11530550,1117055010701,4238.01372,11574.56337
11530550,1117055010801,5974.71811,17446.47787
11530550,1117055010901,2855.79882,7675.63023
11530550,1117055011001,4208.73466,6799.54678
11530550,1117055011002,6319.19587,645.31996
11530550,1117055011401,2448.70493,7276.06925
11530550,1117055011601,5759.44639,5535.92177
11530550,1117055011801,2517.09408,5345.2733
11530550,1117055020001,11481.14559,8617.79085
11530550,1117055020002,4143.16357,8254.52173
11530550,1117055020003,7708.91964,6507.39447
11530550,1117055020004,10092.41089,8927.33387
11530550,1117055020005,6197.31342,10922.29058
11530550,1117055020006,21693.91748,11144.03806
11530550,1117055020007,4344.33444,6640.6466
11530550,1117055020008,1134.65559,3988.3327
11530550,1117055020009,5086.61163,9049.13328
11530550,1117055020010,11566.44568,5676.72781
11530550,1117055020011,3926.3882,7371.96948
11530550,1117055020012,3029.02295,2750.89845
11530550,1117055020013,24094.7419,16761.84683
11530550,1117055020014,6367.58042,7271.15761
11530550,1117055020016,16561.45106,10608.01904
11530550,1117055020101,4802.0575,10492.60812
11530550,1117055020102,1695.79689,4052.44699
11530550,1117055020103,4963.8876,7684.16239
11530550,1117055020104,3911.63952,6501.77648
11530550,1117055021001,4041.56848,5188.50757
11530550,1117055021002,1632.32794,2286.64925
11530550,1117055021003,4497.2526,5814.20111
11530550,1117055021101,3849.43416,6112.11162
11530550,1117055021102,1796.72188,3545.56481
11530550,1117055021103,5475.57565,9840.13234
11530550,1117055021104,2445.95706,5170.74601
11530550,1117055021105,5609.66984,9185.4804
11530550,1117055021106,4211.69869,7720.79766
11530550,1117055021107,4800.3669,8535.07721
11530560,1.117056e+12,82751633.36557,74320155.78778
11530560,1117056010001,19892.39658,9484.92276
11530560,1117056010002,68422.63164,35134.99961
11530560,1117056010003,39003.52434,18256.61996
11530560,1117056010004,17447.07697,12836.09006
11530560,1117056010101,13280.89968,21227.39063
11530560,1117056010201,3831.88615,4943.5565
11530560,1117056010202,7290.6452,18429.67565
11530560,1117056010203,2517.44161,3408.7364
11530560,1117056010204,3796.61127,10456.02577
11530560,1117056010205,8843.79042,20292.31108
11530560,1117056010206,3587.62819,5395.78513
11530560,1117056010207,3209.58668,5356.86729
11530560,1117056010401,18459.81562,24165.20915
11530560,1117056010501,13933.13279,11019.21422
11530560,1117056010502,9058.96527,7607.62147
11530560,1117056010801,11722.26042,25466.47867
11530560,1117056020001,2237.14505,1152.23693
11530560,1117056020002,4121.46068,6050.90026
11530560,1117056020003,8402.75491,13220.30057
11530560,1117056020004,4792.89639,6551.37329
11530560,1117056020005,11265.73619,13570.63417
11530560,1117056020006,9821.56514,13455.89966
11530560,1117056020007,4403.95354,6392.71453
11530560,1117056020008,5677.02411,5420.4039
11530560,1117056020009,9235.2659,9413.07847
11530560,1117056020010,64836.42673,24559.60932
11530560,1117056020011,56040.1622,20889.37971
11530560,1117056020101,4481.38427,15776.44716
11530560,1117056020301,7593.89149,16638.7672
11530560,1117056020401,5784.38887,16107.02372
11530560,1117056020601,9546.08202,15064.856
11530560,1117056020701,2159.23695,2818.72594
11530560,1117056020702,4972.87823,5839.52074
11530560,1117056020703,3813.85128,5930.13159
