"d_code","j_code","flow1_tot","flow2_tot"
11530510,1.117051e+12,2102368.9872,1893036.6255
11530510,1117051010001,671687.0081,470573.1628
11530510,1117051010002,149023.3629,111640.7801
11530510,1117051010003,393200.1198,235067.9644
11530510,1117051010004,69494.5886,71271.5446
11530510,1117051010005,58041.7976,64373.3835
11530510,1117051010006,250969.0629,268283.4985
11530510,1117051010007,245139.452,170269.4963
11530510,1117051010008,380665.9025,335809.3298
11530510,1117051010101,119781.1243,183659.7575
11530510,1117051010102,8769.4654,23041.4703
11530510,1117051010103,45891.8257,101940.0907
11530510,1117051010104,7653.4487,26649.4605
11530510,1117051010105,21061.493,53999.5099
11530510,1117051010106,57364.7464,113551.7031
11530510,1117051010107,62891.0532,85138.6504
11530510,1117051010201,31235.187,41507.9698
11530510,1117051010202,68919.2135,57710.041
11530510,1117051010301,144042.4439,188471.1355
11530510,1117051010401,9564.9654,8894.8601
11530510,1117051010402,19729.5464,37168.3182
11530510,1117051010501,18883.8712,20235.4019
11530510,1117051010601,68944.8952,48852.7297
11530510,1117051010602,16215.4211,16128.1149
11530510,1117051010701,80817.5764,181624.5534
11530510,1117051010702,146976.3487,290193.2466
11530510,1117051010703,151152.6185,300408.6595
11530510,1117051010704,83764.8763,110060.862
11530510,1117051020003,1230432.9099,483438.1265
11530510,1117051020101,327569.3928,445396.8569
11530510,1117051020102,59823.8366,87041.3857
11530510,1117051020103,336876.4252,408984.9329
11530510,1117051020104,113852.1835,173603.9717
11530510,1117051020105,61362.673,59043.3867
11530510,1117051020301,139386.8941,51557.1156
11530510,1117051020401,270519.7096,516716.1905
11530510,1117051020402,24021.7187,52679.8435
11530510,1117051020403,117021.8574,131260.6595
11530510,1117051020404,49831.193,64155.5324
11530510,1117051020405,381821.3187,104264.2221
11530510,1117051020501,344959.5026,331558.7123
11530510,1117051020502,378317.9287,456780.8125
11530510,1117051020503,181146.9015,172631.4412
11530510,1117051020601,64406.075,82718.7057
11530510,1117051030002,430455.8035,139243.4497
11530510,1117051030003,1651720.3582,412737.6016
11530510,1117051030101,146387.6812,127467.2373
11530510,1117051030201,139356.8874,152158.866
11530510,1117051030301,245808.3928,224646.8466
11530510,1117051030302,260515.9227,313955.2996
11530510,1117051030401,114294.2622,120536.2062
11530510,1117051040001,78614.9313,23357.7296
11530510,1117051040002,15835.03,6101.5065
11530510,1117051040004,15460.2965,0
11530510,1117051040101,207643.7628,242881.7931
11530510,1117051040201,143311.5333,164134.1315
11530510,1117051040202,43201.9024,115885.8595
11530510,1117051040203,42414.7976,144085.2497
11530510,1117051040204,16805.4469,66276.3839
11530510,1117051040205,171264.2308,260082.267
11530510,1117051040206,124017.4663,227231.6867
11530510,1117051040207,40539.5895,107256.0126
11530510,1117051040208,396797.4543,502956.9717
11530510,1117051040209,24641.4966,81898.5651
11530510,1117051040210,45898.1259,110224.968
11530510,1117051040211,155542.4974,127877.9999
11530510,1117051040212,212432.3581,190437.3693
11530510,1117051040213,144731.6334,160165.9918
11530510,1117051040301,567738.1489,190839.8271
11530510,1117051040401,85531.325,116014.4595
11530510,1117051040402,49941.4493,97213.7822
11530510,1117051040501,61496.0136,106978.3703
11530510,1117051040502,8716.6634,7409.7956
11530510,1117051040503,163816.9981,298871.2938
11530510,1117051040601,67107.0116,25606.9134
11530520,1.117052e+12,985045.821,1151216.7493
11530520,1117052010001,390905.7181,153875.5568
11530520,1117052010002,1441633.225,1534315.2355
11530520,1117052010003,8840.3212,0
11530520,1117052010101,125571.1676,164334.3422
11530520,1117052010102,152708.6525,138074.9057
11530520,1117052010103,78590.9891,162310.7689
11530520,1117052010104,49140.7833,88086.7933
11530520,1117052010105,98576.4931,148413.5369
11530520,1117052010106,74707.5391,100234.5651
11530520,1117052010107,77949.5763,98970.494
11530520,1117052010108,73498.3325,115384.8185
11530520,1117052010201,266965.6247,141755.4692
11530520,1117052010202,63104.1349,38567.6082
11530520,1117052010301,169986.3816,288253.3175
11530520,1117052010302,137935.685,203216.5728
11530520,1117052010401,72617.1869,126443.8653
11530520,1117052010501,48181.328,106704.152
11530520,1117052010601,34875.2254,72324.272
11530520,1117052010701,72189.2439,123592.1227
11530520,1117052010702,75402.3628,132576.554
11530520,1117052020001,419610.7186,88370.1448
11530520,1117052020003,152.4306,0
11530520,1117052020004,0,0
11530520,1117052020005,0,0
11530520,1117052020006,83492.6538,30247.9617
11530520,1117052020101,134503.475,220161.97
11530520,1117052020102,128523.3996,200227.1705
11530520,1117052020201,96835.6601,215510.0625
11530520,1117052020202,159991.8904,289654.7518
11530520,1117052020203,75300.4715,180996.3668
11530520,1117052020204,25021.5133,88377.629
11530520,1117052020205,27569.8297,91750.6834
11530520,1117052020301,113294.2966,162282.6012
11530520,1117052020302,149782.8001,156920.0663
11530520,1117052020303,135278.457,127681.5777
11530520,1117052020304,146472.1702,200315.1712
11530520,1117052020305,51271.9312,64921.3086
11530520,1117052020306,41829.3716,65186.6253
11530520,1117052020401,248445.9819,311933.2357
11530520,1117052020402,115763.1153,154397.4405
11530520,1117052020403,85652.8327,126669.6332
11530520,1117052020404,104864.2367,163337.6722
11530520,1117052020501,50062.2582,91729.0081
11530520,1117052020502,117066.8208,193859.9539
11530520,1117052020503,94339.2259,150109.475
11530520,1117052020504,16365.7046,43639.2983
11530520,1117052020701,26046.8073,46994.9112
11530520,1117052020702,73262.3318,143044.5059
11530520,1117052020703,31237.7517,44011.7454
11530520,1117052020801,22723.3895,46471.357
11530540,1.117054e+12,2114605.5877,1577178.746
11530540,1117054010001,306034.7386,213813.9938
11530540,1117054010002,1792519.0595,604783.972
11530540,1117054010003,0,0
11530540,1117054010101,66415.5346,149252.4358
11530540,1117054010102,132086.8769,156887.321
11530540,1117054010103,78115.2267,235287.9572
11530540,1117054010104,53233.0237,63227.3124
