gid,lbl,val_200,TOT_REG_CD,ADM_NM,ADM_CD,flow1_tot,flow2_tot,flow1_grid,flow2_grid
다사462437,50,50,1.11706E+12,구로4동,1117055,185789.5819,197050.3479,26541.36884,28150.0497
다사462437,50,50,1.11706E+12,구로4동,1117055,174096.8055,95083.2143,19344.0895,10564.80159
다사462437,50,50,1.11706E+12,구로4동,1117055,301278.0883,145853.2629,23175.23756,11219.48176
다사462437,50,50,1.11706E+12,구로4동,1117055,77083.0754,120433.9053,12847.17923,20072.31755
다사399421,559,559,1.11707E+12,오류2동,1117068,1935162.281,2166108.72,32799.3607,36713.70712
다사412444,228,228,1.11707E+12,오류1동,1117067,128909.9944,169861.9006,21484.99907,28310.31677
다사412444,228,228,1.11707E+12,오류1동,1117067,45763.8436,130264.1753,6537.691943,18609.1679
다사412444,228,228,1.11707E+12,오류1동,1117067,81718.3492,162861.9292,8171.83492,16286.19292
다사412444,228,228,1.11707E+12,수궁동,1117069,105216.1843,207906.5657,9565.107664,18900.59688
다사412444,228,228,1.11707E+12,수궁동,1117069,210132.5781,194645.1553,26266.57226,24330.64441
다사428439,554,554,1.11706E+12,개봉2동,1117064,70798.9925,126716.198,17699.74813,31679.0495
다사428439,554,554,1.11706E+12,개봉2동,1117064,113975.7008,130862.2454,22795.14016,26172.44908
다사428439,554,554,1.11706E+12,개봉2동,1117064,160724.6457,169861.4645,26787.44095,28310.24408
다사428439,554,554,1.11706E+12,개봉2동,1117064,100218.9882,139932.6398,20043.79764,27986.52796
다사428439,554,554,1.11706E+12,개봉2동,1117064,170908.7532,199791.7986,56969.5844,66597.2662
다사428439,554,554,1.11706E+12,개봉2동,1117064,92624.1617,127263.7873,23156.04043,31815.94683
다사424440,591,591,1.11706E+12,개봉2동,1117064,207884.4728,213474.7636,23098.27476,23719.41818
다사424440,591,591,1.11706E+12,개봉2동,1117064,91103.3707,146440.1646,18220.67414,29288.03292
다사424440,591,591,1.11706E+12,개봉2동,1117064,102770.3437,186958.7659,7905.411054,14381.44353
다사424440,591,591,1.11707E+12,오류2동,1117068,327093.4981,478453.5184,46727.64259,68350.50263
다사439449,400,400,1.11706E+12,고척1동,1117061,511778.8839,232962.5075,25588.9442,11648.12538
다사439449,400,400,1.11706E+12,고척1동,1117061,150727.5172,188810.9872,25121.25287,31468.49787
다사439449,400,400,1.11706E+12,고척1동,1117061,107167.2091,187765.5947,26791.80228,46941.39868
다사460428,310,310,1.11707E+12,가리봉동,1117070,66387.6443,162211.0011,9483.949186,23173.00016
다사460428,310,310,1.11707E+12,가리봉동,1117070,71102.2096,61442.7033,10157.45851,8777.529043
다사460428,310,310,1.11707E+12,가리봉동,1117070,27677.9465,21669.9289,4612.991083,3611.654817
다사460428,310,310,1.11707E+12,가리봉동,1117070,237972.6909,191020.7049,18305.59161,14693.90038
