gid,lbl,val_200,TOT_REG_CD,ADM_NM,ADM_CD,flow1_tot,flow2_tot,rank_flow1,rank_flow2,percent1,percent2,grade1,grade2,grade_flow
다사462437,50,50,1117055010002 ,구로4동,1117055,5213.541993,5063.875659,1203,1025,0.704332553,0.600117096,4,4,4
다사399421,559,559,1117068030004 ,오류2동,1117068,1126.210827,1700.256241,188,352,0.110070258,0.206088993,1,2,1.5
다사412444,228,228,1117067020004 ,오류1동,1117067,3692.192124,6557.82614,883,1237,0.516978923,0.724238876,3,4,3.5
다사428439,554,554,1117064010001 ,개봉2동,1117064,8014.718407,10590.33396,1525,1566,0.892857143,0.916861827,5,5,5
다사424440,591,591,1117064010019 ,개봉2동,1117064,4274.114381,6955.754729,1005,1288,0.588407494,0.754098361,3,4,3.5
다사439449,400,400,1117061010006 ,고척1동,1117061,4240.977562,5058.363622,997,1023,0.583723653,0.598946136,3,3,3
다사460428,310,310,1117070010011 ,가리봉동,1117070,2906.904355,3568.933362,676,751,0.395784543,0.43969555,2,3,2.5
다사462434,782,782,1117054010002 ,구로3동,1117054,9128.784746,11966.43992,1597,1619,0.93501171,0.947892272,5,5,5
다사417440,251,251,1117067030005 ,오류1동,1117067,6427.303534,4054.502676,1354,837,0.792740047,0.490046838,4,3,3.5
다사421448,211,211,1117072020011 ,개봉1동,1117072,3481.521706,4023.316877,830,833,0.485948478,0.487704918,3,3,3
다사436443,348,348,1117061020001 ,고척1동,1117061,2156.83243,2098.178644,499,465,0.292154567,0.272248244,2,2,2
다사427429,1379,1379,1117065020010 ,개봉3동,1117065,6917.658877,9964.085867,1417,1539,0.829625293,0.901053864,5,5,5
다사430451,444,444,1117062010011 ,고척2동,1117062,4243.860791,6195.369978,998,1197,0.584309133,0.700819672,3,4,3.5
다사456453,22,22,1117051030002 ,신도림동,1117051,1030.513515,357.0049359,149,53,0.087236534,0.031030445,1,1,1
다사422451,261,261,1117072010001 ,개봉1동,1117072,4662.27406,4436.423729,1102,909,0.645199063,0.532201405,4,3,3.5
다사456429,300,300,1117070010008 ,가리봉동,1117070,2908.604591,5055.767802,677,1021,0.396370023,0.597775176,2,3,2.5
다사447445,166,166,1117052010002 ,구로1동,1117052,4334.076036,4347.164371,1018,895,0.596018735,0.524004684,3,3,3
다사426435,502,502,1117064010017 ,개봉2동,1117064,5486.373582,8848.908798,1246,1465,0.729508197,0.857728337,4,5,4.5
다사405445,375,375,1117069010016 ,수궁동,1117069,5115.952182,9191.279986,1188,1493,0.695550351,0.87412178,4,5,4.5
다사431451,902,902,1117061020002 ,고척1동,1117061,4509.925873,7676.616881,1066,1353,0.62412178,0.792154567,4,4,4
다사461433,784,784,1117054010202 ,구로3동,1117054,7205.946405,13950.724,1451,1660,0.849531616,0.971896956,5,5,5
다사434440,255,255,1117064020001 ,개봉2동,1117064,7705.502499,6803.179292,1495,1264,0.87529274,0.740046838,5,4,4.5
다사414437,559,559,1117068020007 ,오류2동,1117068,1036.162244,493.7306331,173,63,0.101288056,0.036885246,1,1,1
다사424446,524,524,1117072050007 ,개봉1동,1117072,3399.616697,6019.266265,808,1172,0.473067916,0.68618267,3,4,3.5
다사430445,336,336,1117061020101 ,고척1동,1117061,2945.361322,2908.049832,689,637,0.403395785,0.37295082,3,2,2.5
다사434454,348,348,1117062010002 ,고척2동,1117062,8235.006087,9783.636369,1539,1530,0.901053864,0.895784543,5,5,5
다사404423,447,447,1117068030004 ,오류2동,1117068,1126.210827,1700.256241,188,352,0.110070258,0.206088993,1,2,1.5
다사427438,693,693,1117064010001 ,개봉2동,1117064,4673.426454,9497.881392,1104,1516,0.646370023,0.887587822,4,5,4.5
다사432433,617,617,1117065010001 ,개봉3동,1117065,6534.762298,6953.55893,1369,1285,0.801522248,0.75234192,5,4,4.5
다사448452,483,483,1117071030001 ,구로2동,1117071,3225.425677,3703.078206,765,776,0.447892272,0.454332553,3,3,3
다사457457,257,257,1117051020003 ,신도림동,1117051,11022.25078,10641.60626,1662,1570,0.973067916,0.919203747,5,5,5
다사408445,563,563,1117069020017 ,수궁동,1117069,1590.293777,2770.312891,335,612,0.196135831,0.358313817,1,2,1.5
다사432450,184,184,1117061020006 ,고척1동,1117061,5230.678385,5644.14003,1207,1112,0.706674473,0.651053864,4,4,4
다사461425,241,241,1117070010004 ,가리봉동,1117070,3819.647423,4586.532754,904,941,0.529274005,0.550936768,3,3,3
다사412427,25,25,1117068030001 ,오류2동,1117068,1030.518662,671.9413754,150,101,0.087822014,0.059133489,1,1,1
다사449437,723,723,1117052020001 ,구로1동,1117052,4891.823974,7527.189676,1140,1338,0.667447307,0.783372365,4,4,4
다사424455,382,382,1117062020004 ,고척2동,1117062,2861.150888,4428.341114,663,906,0.388173302,0.530444965,2,3,2.5
다사434438,906,906,1117064020001 ,개봉2동,1117064,6500.400178,6708.524048,1366,1251,0.799765808,0.732435597,4,4,4
다사450452,278,278,1117051040212 ,신도림동,1117051,6052.138334,6754.662894,1315,1259,0.769906323,0.737119438,4,4,4
다사457449,334,334,1117056020010 ,구로5동,1117056,7854.281316,7084.566541,1510,1301,0.884074941,0.761709602,5,4,4.5
다사459441,N/A,0,1117056031501 ,구로5동,1117056,2465.26684,2583.476513,564,569,0.330210773,0.333138173,2,2,2
다사398431,127,127,1117068030010 ,오류2동,1117068,2650.313896,5529.244999,613,1100,0.358899297,0.644028103,2,4,3
다사457460,851,851,1117051010201 ,신도림동,1117051,3072.4208,4363.679777,722,899,0.422716628,0.526346604,3,3,3
