gid,lbl,val_200,flow1_tot,flow2_tot,,,rank_flow1,rank_flow2,percent1,percent2,grade1,grade2,grade_flow
다사462437,50,50,82738.14698,91694.52432,82738.14698,91694.52432,1083,1105,0.630017452,0.643564356,4,4,4
다사399421,559,559,36284.29278,40614.5385,36284.29278,40614.5385,448,582,0.260616638,0.338963308,2,2,2
다사412444,228,228,59771.68639,78510.34255,59771.68639,78510.34255,831,1003,0.483420593,0.584158416,3,3,3
다사428439,554,554,189744.1862,225898.6579,189744.1862,225898.6579,1603,1594,0.932518906,0.928363425,5,5,5
다사424440,591,591,137948.8259,249459.3278,137948.8259,249459.3278,1448,1625,0.842350204,0.946418171,5,5,5
다사439449,400,400,86141.17696,151079.9381,86141.17696,151079.9381,1113,1420,0.647469459,0.827023879,4,5,4.5
다사460428,310,310,31830.21295,25554.57637,31830.21295,25554.57637,405,374,0.235602094,0.217821782,2,2,2
다사462434,782,782,92005.89944,181405.7524,92005.89944,181405.7524,1156,1497,0.672484002,0.87186954,4,5,4.5
다사417440,251,251,104054.9644,52625.81458,104054.9644,52625.81458,1262,744,0.73414776,0.43331392,4,3,3.5
다사421448,211,211,94679.61374,91680.74052,94679.61374,91680.74052,1176,1100,0.684118674,0.640652301,4,4,4
다사436443,348,348,43960.81877,72857.57279,43960.81877,72857.57279,600,941,0.34904014,0.548048923,2,3,2.5
다사427429,1379,1379,127505.8601,210787.5112,127505.8601,210787.5112,1397,1561,0.812681792,0.909143856,5,5,5
다사430451,444,444,119606.6878,201429.3553,119606.6878,201429.3553,1353,1548,0.787085515,0.90157251,4,5,4.5
다사456453,22,22,44592.44134,22403.39703,44592.44134,22403.39703,620,316,0.360674811,0.184041934,2,1,1.5
다사422451,261,261,39990.39492,50053.25668,39990.39492,50053.25668,532,719,0.309482257,0.41875364,2,3,2.5
다사456429,300,300,67538.09636,130638.4684,67538.09636,130638.4684,910,1310,0.529377545,0.762958649,3,4,3.5
다사447445,166,166,91252.24036,86868.59712,91252.24036,86868.59712,1147,1058,0.6672484,0.616191031,4,4,4
다사426435,502,502,73200.08683,102889.9299,73200.08683,102889.9299,970,1162,0.564281559,0.676761794,3,4,3.5
다사405445,375,375,91175.7296,188390.0939,91175.7296,188390.0939,1145,1506,0.666084933,0.877111241,4,5,4.5
다사431451,902,902,45087.69151,99572.99262,45087.69151,99572.99262,623,1144,0.362420012,0.666278393,2,4,3
다사461433,784,784,98966.6056,115111.0451,98966.6056,115111.0451,1207,1243,0.702152414,0.7239371,4,4,4
다사434440,255,255,175992.9099,152154.1309,175992.9099,152154.1309,1560,1411,0.907504363,0.821782178,5,5,5
다사414437,559,559,11.13946667,0,11.13946667,,1,,0.000581734,,1,0,0.5
다사424446,524,524,103218.6154,177171.7446,103218.6154,177171.7446,1247,1471,0.725421757,0.856726849,4,5,4.5
다사430445,336,336,107999.1814,49260.36674,107999.1814,49260.36674,1276,704,0.74229203,0.410017472,4,3,3.5
다사434454,348,348,111890.5712,134466.972,111890.5712,134466.972,1296,1327,0.753926702,0.772859639,4,4,4
다사404423,447,447,48379.05704,54152.718,48379.05704,54152.718,665,753,0.386852821,0.43855562,2,3,2.5
다사427438,693,693,115142.4914,189810.591,115142.4914,189810.591,1310,1502,0.762070971,0.874781596,4,5,4.5
다사432433,617,617,265108.3746,438040.6784,265108.3746,438040.6784,1643,1670,0.955788249,0.972626674,5,5,5
다사448452,483,483,78275.47173,98480.2996,78275.47173,98480.2996,1029,1136,0.598603839,0.661619103,3,4,3.5
다사457457,257,257,239957.648,291069.041,239957.648,291069.041,1627,1627,0.946480512,0.947582994,5,5,5
다사408445,563,563,34061.68045,80492.25705,34061.68045,80492.25705,424,1013,0.246655032,0.589982528,2,3,2.5
다사432450,184,184,130563.3287,84251.1215,130563.3287,84251.1215,1388,1039,0.80744619,0.605125218,5,4,4.5
다사461425,241,241,53563.78445,53526.58777,53563.78445,53526.58777,750,747,0.436300175,0.435061153,3,3,3
다사412427,25,25,42428.07219,37263.40494,42428.07219,37263.40494,573,529,0.333333333,0.308095515,2,2,2
다사449437,723,723,132036.7234,153949.5383,132036.7234,153949.5383,1392,1408,0.809773124,0.820034945,5,5,5
