gid,lbl,val_200,TOT_REG_CD,ADM_NM,ADM_CD,flow1_grid,flow2_grid,flow1_tot,flow2_tot
다사462437,50,50,1.11706E+12,구로4동,1117055,12847.17923,20072.31755,51388.717,80289.27
다사399421,559,559,1.11707E+12,오류2동,1117068,32799.3607,36713.70712,32799.361,36713.707
다사412444,228,228,1.11707E+12,오류1동,1117067,26266.57226,24330.64441,131332.861,121653.222
다사428439,554,554,1.11706E+12,개봉2동,1117064,23156.04043,31815.94683,138936.243,190895.681
다사424440,591,591,1.11706E+12,개봉2동,1117064,46727.64259,68350.50263,186910.57,273402.011
다사439449,400,400,1.11706E+12,고척1동,1117061,26791.80228,46941.39868,80375.407,140824.196
다사460428,310,310,1.11707E+12,가리봉동,1117070,18305.59161,14693.90038,73222.366,58775.602
다사462434,782,782,1.11705E+12,구로3동,1117054,12715.73525,28396.70428,76294.412,170380.226
다사417440,251,251,1.11707E+12,오류1동,1117067,27137.74015,23332.85902,108550.961,93331.436
다사421448,211,211,1.11707E+12,개봉1동,1117072,12762.5925,21950.89243,38287.778,65852.677
다사436443,348,348,1.11706E+12,고척1동,1117061,6407.216617,15386.8292,19221.65,46160.488
다사427429,1379,1379,1.11707E+12,개봉3동,1117065,17485.03185,32470.0024,104910.191,194820.014
다사430451,444,444,1.11706E+12,고척2동,1117062,10396.19343,18540.82328,41584.774,74163.293
다사456453,22,22,1.11705E+12,신도림동,1117051,25320.92962,8190.791159,25320.93,8190.791
다사422451,261,261,1.11707E+12,개봉1동,1117072,9521.5226,11917.44207,38086.09,47669.768
다사456429,300,300,1.11707E+12,가리봉동,1117070,23638.33373,45723.46393,70915.001,137170.392
다사447445,166,166,1.11705E+12,구로1동,1117052,25095.35477,15405.76298,75286.064,46217.289
다사426435,502,502,1.11706E+12,개봉2동,1117064,15250.05113,20553.22687,91500.307,123319.361
다사405445,375,375,1.11707E+12,수궁동,1117069,34190.8986,70646.2852,136763.594,282585.141
다사431451,902,902,1.11706E+12,고척1동,1117061,10396.19343,18540.82328,51980.967,92704.116
다사461433,784,784,1.11705E+12,구로3동,1117054,19914.69929,18784.85984,139402.895,131494.019
다사434440,255,255,1.11706E+12,개봉2동,1117064,44810.06801,13733.79429,134430.204,41201.383
다사414437,559,559,1.11707E+12,오류2동,1117068,2.08865,0,8.355,0
다사424446,524,524,1.11707E+12,개봉1동,1117072,25231.21712,43308.64868,75693.651,129925.946
다사430445,336,336,1.11706E+12,고척1동,1117061,40799.69073,18609.47188,122399.072,55828.416
다사434454,348,348,1.11706E+12,고척2동,1117062,25293.49504,34618.2961,126467.475,173091.481
다사404423,447,447,1.11707E+12,오류2동,1117068,32799.3607,36713.70712,32799.361,36713.707
다사427438,693,693,1.11706E+12,개봉2동,1117064,18248.53298,37106.58612,91242.665,185532.931
다사432433,617,617,1.11707E+12,개봉3동,1117065,43763.32489,76455.59544,87526.65,152911.191
다사448452,483,483,1.11707E+12,구로2동,1117071,21901.99004,37135.76392,43803.98,74271.528
다사457457,257,257,1.11705E+12,신도림동,1117051,48125.2036,58426.41899,192500.814,233705.676
다사408445,563,563,1.11707E+12,수궁동,1117069,4131.135175,12155.38775,12393.406,36466.163
다사432450,184,184,1.11706E+12,고척1동,1117061,11784.69737,30108.52077,47138.789,120434.083
다사461425,241,241,1.11707E+12,가리봉동,1117070,18305.59161,14693.90038,73222.366,58775.602
다사412427,25,25,1.11707E+12,오류2동,1117068,23880.28108,20973.39186,23880.281,20973.392
다사449437,723,723,1.11705E+12,구로1동,1117052,37445.70003,39230.01658,149782.8,156920.066
