no,pk,add1,add2,lon,lat,sgg_code,bjd_code,total_area
1,11530-100184000,서울특별시 구로구 신도림동 270-2번지,서울특별시 구로구 경인로67길 159,126.8820338,37.5136678,11530,10100,11312.04
2,11530-100189346,서울특별시 구로구 신도림동 271-25번지,서울특별시 구로구 신도림로19길 144,126.8812807,37.5142635,11530,10100,15
3,11530-100189145,서울특별시 구로구 신도림동 271-25번지,서울특별시 구로구 신도림로19길 144,126.8812807,37.5142635,11530,10100,5066.79
4,11530-100189178,서울특별시 구로구 신도림동 271-25번지,서울특별시 구로구 신도림로19길 144,126.8812807,37.5142635,11530,10100,13563.97
5,11530-100189264,서울특별시 구로구 신도림동 271-25번지,서울특별시 구로구 신도림로19길 144,126.8812807,37.5142635,11530,10100,13319.7
6,11530-100199821,서울특별시 구로구 신도림동 271-41번지,서울특별시 구로구 신도림로19길 124,126.8809233,37.5137276,11530,10100,7872.88
7,11530-15687,서울특별시 구로구 신도림동 276-13번지,서울특별시 구로구 경인로67나길 52,126.880412,37.5136552,11530,10100,115.45
8,11530-18321,서울특별시 구로구 신도림동 276-1번지,서울특별시 구로구 경인로67나길 52,126.880412,37.5136552,11530,10100,45.68
9,11530-18463,서울특별시 구로구 신도림동 276-20번지,서울특별시 구로구 구로중앙로42길 152,126.8801185,37.5124793,11530,10100,250.38
10,11530-100218012,서울특별시 구로구 신도림동 276-32번지,서울특별시 구로구 경인로67나길 45,126.8807132,37.5133283,11530,10100,36.16
11,11530-100217914,서울특별시 구로구 신도림동 276-32번지,서울특별시 구로구 경인로67나길 45,126.8807132,37.5133283,11530,10100,3981.09
12,11530-23148,서울특별시 구로구 신도림동 276-46번지,서울특별시 구로구 신도림로11라길 75,126.8805407,37.5122319,11530,10100,424.36
13,11530-22105,서울특별시 구로구 신도림동 276-47번지,서울특별시 구로구 신도림로11라길 71,126.8804158,37.5120388,11530,10100,384.26
14,11530-16905,서울특별시 구로구 신도림동 276-50번지,서울특별시 구로구 신도림로11라길 71-8,126.8803728,37.512342,11530,10100,162.84
15,11530-15663,서울특별시 구로구 신도림동 276-51번지,서울특별시 구로구 신도림로11라길 71-10,126.8802207,37.5123775,11530,10100,221.09
16,11530-11515,서울특별시 구로구 신도림동 276-52번지,서울특별시 구로구 신도림로11라길 71-9,126.8800979,37.5121934,11530,10100,221.09
17,11530-16535,서울특별시 구로구 신도림동 276-56번지,서울특별시 구로구 신도림로19길 108,126.8803125,37.5131226,11530,10100,373.64
18,11530-7930,서울특별시 구로구 신도림동 276-59번지,서울특별시 구로구 구로중앙로42길 146,126.879881,37.5122472,11530,10100,1187.63
19,11530-100229814,서울특별시 구로구 신도림동 276-5번지,서울특별시 구로구 신도림로19길 116,126.88197,37.5124265,11530,10100,999.63
20,11530-100229839,서울특별시 구로구 신도림동 276-5번지,서울특별시 구로구 신도림로19길 116,126.88197,37.5124265,11530,10100,662.76
21,11530-23701,서울특별시 구로구 신도림동 277-2번지,서울특별시 구로구 신도림로19길 100,126.87989,37.5129348,11530,10100,658.24
22,11530-15921,서울특별시 구로구 신도림동 279-11번지,서울특별시 구로구 신도림로11라길 63,126.8803852,37.5116609,11530,10100,67.8
23,11530-21304,서울특별시 구로구 신도림동 279-12번지,서울특별시 구로구 신도림로11라길 61,126.8803322,37.5115757,11530,10100,88.2
24,11530-7536,서울특별시 구로구 신도림동 279-13번지,서울특별시 구로구 신도림로11라길 59-4,126.8802138,37.5116242,11530,10100,86.38
25,11530-22217,서울특별시 구로구 신도림동 279-1번지,서울특별시 구로구 신도림로11라길 67,126.8804241,37.5118568,11530,10100,187.51
26,11530-20739,서울특별시 구로구 신도림동 279-3번지,서울특별시 구로구 신도림로15길 77,126.8802725,37.5117103,11530,10100,78.55
27,11530-23925,서울특별시 구로구 신도림동 279-4번지,,126.8801456,37.51152001,11530,10100,299.14
28,11530-14504,서울특별시 구로구 신도림동 279-5번지,서울특별시 구로구 신도림로11라길 53-5,126.879942,37.5114207,11530,10100,76.27
29,11530-23775,서울특별시 구로구 신도림동 279-8번지,서울특별시 구로구 신도림로11라길 53-3,126.8800231,37.511371,11530,10100,97.82
30,11530-5019,서울특별시 구로구 신도림동 279-9번지,서울특별시 구로구 신도림로11라길 53,126.880121,37.5113242,11530,10100,94.75
31,11530-24009,서울특별시 구로구 신도림동 280-12번지,서울특별시 구로구 신도림로11라길 47,126.8799504,37.5110874,11530,10100,348
32,11530-16869,서울특별시 구로구 신도림동 280-13번지,서울특별시 구로구 신도림로11라길 47-1,126.8798902,37.5111769,11530,10100,112.05
33,11530-6837,서울특별시 구로구 신도림동 280-14번지,서울특별시 구로구 신도림로11라길 47-7,126.8797918,37.5112571,11530,10100,150.45
34,11530-20948,서울특별시 구로구 신도림동 280-15번지,서울특별시 구로구 신도림로11라길 47-9,126.8796691,37.5112928,11530,10100,345.72
35,11530-23813,서울특별시 구로구 신도림동 280-17번지,서울특별시 구로구 신도림로11라길 47-3,126.8798154,37.5111131,11530,10100,57.12
36,11530-12600,서울특별시 구로구 신도림동 280-19번지,서울특별시 구로구 신도림로11라길 45,126.8798512,37.5109891,11530,10100,112.3
37,11530-23110,서울특별시 구로구 신도림동 280-1번지,서울특별시 구로구 신도림로11라길 47-6,126.8798865,37.5113517,11530,10100,396
38,11530-9468,서울특별시 구로구 신도림동 280-21번지,서울특별시 구로구 신도림로11라길 46,126.8800457,37.5109162,11530,10100,351.36
39,11530-1114,서울특별시 구로구 신도림동 280-23번지,서울특별시 구로구 신도림로11라길 50,126.8801493,37.5110235,11530,10100,299.88
40,11530-1113,서울특별시 구로구 신도림동 280-23번지,서울특별시 구로구 신도림로11라길 50,126.8801493,37.5110235,11530,10100,120.75
41,11530-5446,서울특별시 구로구 신도림동 280-24번지,서울특별시 구로구 신도림로11라길 54,126.8802256,37.5111377,11530,10100,393.06
42,11530-12016,서울특별시 구로구 신도림동 280-26번지,서울특별시 구로구 신도림로15길 21-35,126.8802129,37.5109277,11530,10100,299.78
43,11530-15990,서울특별시 구로구 신도림동 280-2번지,서울특별시 구로구 신도림로11라길 41,126.8795997,37.511166,11530,10100,36
44,11530-18318,서울특별시 구로구 신도림동 280-6번지,서울특별시 구로구 신도림로11라길 44,126.8800339,37.5106466,11530,10100,701.25
45,11530-20610,서울특별시 구로구 신도림동 281-100번지,서울특별시 구로구 구로중앙로42길 128,126.8791417,37.5117627,11530,10100,617.52
46,11530-13874,서울특별시 구로구 신도림동 281-119번지,서울특별시 구로구 구로중앙로42길 126-12,126.8795539,37.511353,11530,10100,95.78
47,11530-14911,서울특별시 구로구 신도림동 281-11번지,서울특별시 구로구 신도림로15길 86,126.8800526,37.5120452,11530,10100,54.45
48,11530-13540,서울특별시 구로구 신도림동 281-121번지,서울특별시 구로구 구로중앙로42길 126-6,126.8791772,37.5115089,11530,10100,303.55
49,11530-16311,서울특별시 구로구 신도림동 281-123번지,서울특별시 구로구 구로중앙로42길 126-4,126.8790219,37.5116066,11530,10100,309.12
50,11530-24038,서울특별시 구로구 신도림동 281-125번지,,126.8790286,37.51147157,11530,10100,229.2
51,11530-15732,서울특별시 구로구 신도림동 281-12번지,서울특별시 구로구 신도림로15길 88,126.8799537,37.512074,11530,10100,40.86
52,11530-9914,서울특별시 구로구 신도림동 281-137번지,서울특별시 구로구 구로중앙로42길 137,126.8792518,37.5122692,11530,10100,154.12
53,11530-12919,서울특별시 구로구 신도림동 281-139번지,서울특별시 구로구 구로중앙로42길 135,126.8791782,37.5121973,11530,10100,198.69
54,11530-10971,서울특별시 구로구 신도림동 281-13번지,서울특별시 구로구 신도림로15길 90,126.879824,37.5121251,11530,10100,53.82
55,11530-5002,서울특별시 구로구 신도림동 281-142번지,서울특별시 구로구 구로중앙로42길 131,126.8790292,37.5120283,11530,10100,208.42
56,11530-13213,서울특별시 구로구 신도림동 281-144번지,서울특별시 구로구 구로중앙로42길 125,126.8788353,37.5118282,11530,10100,69.12
57,11530-17576,서울특별시 구로구 신도림동 281-159번지,서울특별시 구로구 구로중앙로42길 126-11,126.8796043,37.5114625,11530,10100,64.68
58,11530-11543,서울특별시 구로구 신도림동 281-1번지,서울특별시 구로구 신도림로15길 80,126.8803054,37.5119296,11530,10100,27.44
59,11530-11647,서울특별시 구로구 신도림동 281-29번지,서울특별시 구로구 신도림로15길 81,126.8801336,37.5117694,11530,10100,324.61
60,11530-19894,서울특별시 구로구 신도림동 281-33번지,서울특별시 구로구 신도림로15길 83,126.8800288,37.5118215,11530,10100,44.55
61,11530-14684,서울특별시 구로구 신도림동 281-34번지,서울특별시 구로구 신도림로15길 83-1,126.8799626,37.5118624,11530,10100,27.44
62,11530-10566,서울특별시 구로구 신도림동 281-35번지,서울특별시 구로구 신도림로15길 85,126.8798885,37.5119013,11530,10100,27.44
63,11530-17381,서울특별시 구로구 신도림동 281-36번지,서울특별시 구로구 신도림로15길 87,126.8798211,37.5119394,11530,10100,27.44
64,11530-6409,서울특별시 구로구 신도림동 281-37번지,서울특별시 구로구 신도림로11라길 59-18,126.8796602,37.5119631,11530,10100,465.15
