gid,d_name,area,
다사462437,구로4동,10000,구로4동
다사399421,항동,9005.984,항동
다사412444,오류1동,8052.624,오류1동
다사412444,오류1동,1947.376,오류1동
다사428439,개봉2동,10000,개봉2동
다사424440,개봉2동,9996.937,개봉2동
다사424440,개봉2동,3.063,개봉2동
다사439449,고척1동,10000,고척1동
다사460428,가리봉동,10000,가리봉동
다사462434,구로3동,10000,구로3동
다사417440,오류1동,9442.807,오류1동
다사417440,오류1동,557.193,오류1동
다사421448,개봉1동,10000,개봉1동
다사436443,고척1동,7799.552,고척1동
다사436443,고척1동,2200.448,고척1동
다사427429,개봉3동,10000,개봉3동
다사430451,고척2동,10000,고척2동
다사456453,신도림동,10000,신도림동
다사422451,개봉1동,10000,개봉1동
다사456429,가리봉동,10000,가리봉동
다사447445,구로1동,7922.97,구로1동
다사447445,구로1동,2077.03,구로1동
다사426435,개봉3동,57.165,개봉3동
다사426435,개봉3동,9942.835,개봉3동
다사405445,수궁동,10000,수궁동
다사431451,고척2동,3380.268,고척2동
다사431451,고척2동,6619.732,고척2동
다사461433,구로3동,10000,구로3동
다사434440,개봉2동,7080.368,개봉2동
다사434440,개봉2동,2919.632,개봉2동
다사414437,오류2동,10000,오류2동
다사424446,개봉1동,10000,개봉1동
다사430445,개봉1동,238.889,개봉1동
다사430445,개봉1동,9761.111,개봉1동
다사434454,고척2동,8279.6,고척2동
다사404423,항동,10000,항동
다사427438,개봉2동,10000,개봉2동
다사432433,개봉3동,10000,개봉3동
다사448452,구로2동,10000,구로2동
다사457457,신도림동,10000,신도림동
다사408445,수궁동,10000,수궁동
다사432450,고척1동,9848.3,고척1동
다사432450,고척1동,151.7,고척1동
다사461425,가리봉동,10000,가리봉동
다사412427,오류2동,10000,오류2동
다사449437,구로1동,10000,구로1동
다사424455,고척2동,10000,고척2동
다사434438,개봉2동,10000,개봉2동
다사450452,구로2동,3070.368,구로2동
다사450452,구로2동,6929.632,구로2동
다사457449,구로5동,10000,구로5동
다사459441,구로2동,1178.33,구로2동
다사459441,구로2동,8821.67,구로2동
다사398431,항동,4231.789,항동
다사457460,신도림동,10000,신도림동
다사422446,개봉1동,10000,개봉1동
다사463425,구로3동,7984.477,구로3동
다사463425,구로3동,2015.523,구로3동
다사421449,개봉1동,10000,개봉1동
다사434446,고척1동,10000,고척1동
다사421442,오류1동,10000,오류1동
다사430446,고척1동,5920.591,고척1동
다사430446,고척1동,4079.409,고척1동
다사456439,구로2동,10000,구로2동
다사419428,오류2동,10000,오류2동
다사452438,구로2동,10000,구로2동
다사432432,개봉3동,8775.652,개봉3동
다사403437,수궁동,10000,수궁동
