gid,lbl,val_200,d_name,cctv_20,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사462437,50,50,구로4동,5.865,1,4,1,1.041,11.31,411
다사399421,559,559,항동,10,0,2,1.095,1,13.14,140
다사412444,228,228,오류1동,6.514,0,3,1,1.041,9.904,546
다사428439,554,554,개봉2동,0.45,0,5,1,1.041,5.673,931
다사424440,591,591,개봉2동,5.496,0,5,1.095,1.041,11.964,341
다사439449,400,400,고척1동,3.17,0,4.5,1,1.041,7.984,709
다사460428,310,310,가리봉동,2.207,0,2,1,1.041,4.379,1036
다사462434,782,782,구로3동,6.957,0,4.5,1,1,11.457,385
다사417440,251,251,오류1동,8.02,0,3.5,1.095,1,12.614,241
다사421448,211,211,개봉1동,6.794,0.645,4,1,1.041,11.908,346
다사436443,348,348,고척1동,9.512,0.28,2.5,1.095,1,13.46,127
다사427429,1379,1379,개봉3동,9.285,0,5,1,1,14.285,59
다사430451,444,444,고척2동,2.729,0,4.5,1,1.041,7.525,756
다사456453,22,22,신도림동,10,0,1.5,1,1.041,11.971,335
다사422451,261,261,개봉1동,6.486,0.455,2.5,1,1.041,9.828,550
다사456429,300,300,가리봉동,0,0,3.5,1,1.041,3.643,1110
다사447445,166,166,구로1동,8.405,0,4,1.095,1,13.583,111
다사426435,502,502,개봉3동,3.035,0,3.5,1,1.041,6.803,836
다사405445,375,375,수궁동,6.918,0,4.5,1.095,1,12.503,253
다사431451,902,902,고척2동,6.519,0,3,1.095,1,10.423,493
다사461433,784,784,구로3동,9.519,0,4,1.095,1,14.803,45
다사434440,255,255,개봉2동,3.058,0,5,1.095,1,8.824,643
다사414437,559,559,오류2동,8.252,0,0.5,1,1,8.752,649
다사424446,524,524,개봉1동,5.04,0,4.5,1.095,1,10.446,491
다사430445,336,336,개봉1동,3.787,0,3.5,1,1.041,7.586,751
다사434454,348,348,고척2동,9.607,0.94,4,1,1,14.547,53
다사404423,447,447,항동,10,0,2.5,1.095,1,13.688,94
다사427438,693,693,개봉2동,0.961,0,4.5,1.095,1,5.98,910
다사432433,617,617,개봉3동,2.177,0,5,1,1.041,7.471,767
다사448452,483,483,구로2동,8.759,0.25,3.5,1,1,12.509,252
다사457457,257,257,신도림동,10,0.835,5,1,1,15.835,11
다사408445,563,563,수궁동,5.116,0,2.5,1.095,1,8.34,681
다사432450,184,184,고척1동,4.032,0,4.5,1,1.041,8.882,635
다사461425,241,241,가리봉동,0.603,1.47,3,1.095,1.041,5.783,921
다사412427,25,25,오류2동,6.099,0,2,1,1,8.099,700
다사449437,723,723,구로1동,6.317,0,5,1,1,11.317,409
다사424455,382,382,고척2동,0.392,0,2.5,1,1.041,3.011,1160
다사434438,906,906,개봉2동,6.555,0,3.5,1.095,1,11.01,430
다사450452,278,278,구로2동,10,0.835,3.5,1.095,1,15.697,14
다사457449,334,334,구로5동,1.754,0,5,1,1.041,7.031,811
