gid,lbl,val_200,d_name,cctv_21,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사462437,50,50,구로4동,0.611,1,4,1,1.041,5.841,831
다사399421,559,559,항동,10,0,2,1.095,1,13.14,107
다사412444,228,228,오류1동,7.732,0,3,1,1.041,11.172,346
다사428439,554,554,개봉2동,0.282,0,5,1,1.041,5.499,865
다사424440,591,591,개봉2동,3.715,0,5,1.095,1.041,9.934,447
다사439449,400,400,고척1동,2.195,0,4.5,1,1.041,6.969,724
다사460428,310,310,가리봉동,0.115,0,2,1,1.041,2.202,1188
다사462434,782,782,구로3동,4.34,0,4.5,1,1,8.84,545
다사417440,251,251,오류1동,7.832,0,3.5,1.095,1,12.409,217
다사421448,211,211,개봉1동,4.221,0.645,4,1,1.041,9.23,501
다사436443,348,348,고척1동,10,0.28,2.5,1.095,1,13.994,57
다사427429,1379,1379,개봉3동,7.085,0,5,1,1,12.085,231
다사430451,444,444,고척2동,3.215,0,4.5,1,1.041,8.031,623
다사456453,22,22,신도림동,10,0,1.5,1,1.041,11.971,263
다사422451,261,261,개봉1동,6.492,0.455,2.5,1,1.041,9.834,458
다사456429,300,300,가리봉동,0,0,3.5,1,1.041,3.643,1051
다사447445,166,166,구로1동,7.788,0,4,1.095,1,12.908,173
다사426435,502,502,개봉3동,1.706,0,3.5,1,1.041,5.419,869
다사405445,375,375,수궁동,4.871,0,4.5,1.095,1,10.261,406
다사431451,902,902,고척2동,8.499,0,3,1.095,1,12.591,193
다사461433,784,784,구로3동,9.426,0,4,1.095,1,14.701,30
다사434440,255,255,개봉2동,2.163,0,5,1.095,1,7.843,634
다사414437,559,559,오류2동,10,0,0.5,1,1,10.5,392
다사424446,524,524,개봉1동,4.725,0,4.5,1.095,1,10.101,431
다사430445,336,336,개봉1동,0.408,0,3.5,1,1.041,4.068,1011
다사434454,348,348,고척2동,8.254,0.94,4,1,1,13.194,101
다사404423,447,447,항동,10,0,2.5,1.095,1,13.688,68
다사427438,693,693,개봉2동,1.448,0,4.5,1.095,1,6.513,772
다사432433,617,617,개봉3동,1.725,0,5,1,1.041,7.001,721
다사448452,483,483,구로2동,3.371,0.25,3.5,1,1,7.121,710
다사457457,257,257,신도림동,5.407,0.835,5,1,1,11.242,336
다사408445,563,563,수궁동,5.685,0,2.5,1.095,1,8.963,534
다사432450,184,184,고척1동,7.117,0,4.5,1,1.041,12.093,230
다사461425,241,241,가리봉동,2.037,1.47,3,1.095,1.041,7.417,673
다사412427,25,25,오류2동,1.536,0,2,1,1,3.536,1065
다사449437,723,723,구로1동,10,0,5,1,1,15,19
다사424455,382,382,고척2동,0.004,0,2.5,1,1.041,2.607,1159
다사434438,906,906,개봉2동,4.62,0,3.5,1.095,1,8.891,540
다사450452,278,278,구로2동,9.955,0.835,3.5,1.095,1,15.648,7
다사457449,334,334,구로5동,0.841,0,5,1,1.041,6.08,812
다사459441,N/A,0,구로2동,0,0,2.5,1,1,2.5,1165
다사398431,127,127,항동,7.539,0,2.5,1.095,1,10.993,363
다사457460,851,851,신도림동,4.892,0,3.5,1.095,1,9.189,506
다사422446,182,182,개봉1동,6.173,0,2.5,1,1.041,9.029,521
다사463425,92,92,구로3동,3.56,0,3.5,1,1,7.06,716
다사421449,366,366,개봉1동,4.192,0.455,4,1,1.041,9.002,525
다사434446,18,18,고척1동,10,0,2.5,1,1,12.5,200
다사421442,551,551,오류1동,8.705,0,4.5,1.095,1,14.459,33
다사430446,504,504,고척1동,2.437,0,3,1,1.041,5.66,848
다사456439,N/A,0,구로2동,0,0,3,1,1,3,1117
다사419428,398,398,오류2동,8.28,0,4,1.095,1,13.447,93
다사452438,336,336,구로2동,0.208,0,4,1,1.041,4.381,975
다사432432,N/A,0,개봉3동,0,0,4,1,1,4,1016
다사403437,218,218,수궁동,9.846,0,2.5,1,1.041,12.852,176
다사423447,295,295,개봉1동,7.589,0,5,1,1,12.589,194
다사410448,31,31,수궁동,8.984,0,1,1,1.041,10.393,397
다사416423,277,277,오류2동,10,0,4.5,1.095,1,15.878,4
다사418428,N/A,0,오류2동,0,0,4,1,1.041,4.164,1005
다사429438,497,497,개봉2동,3.109,0.455,4,1.095,1.041,8.622,562
다사431441,1002,1002,개봉2동,5.553,0.455,4,1.095,1,10.959,364
다사404445,144,144,수궁동,7.725,0,4.5,1,1.041,12.726,182
다사421452,134,134,개봉1동,5.483,0,4,1,1.041,9.872,455
다사408449,8,8,수궁동,10,0,1,1,1.041,11.451,302
다사442452,11,11,고척1동,7.696,0,1,1,1,8.696,558
다사462429,270,270,구로3동,0.991,0.455,3.5,1,1.041,5.149,899
다사400423,72,72,항동,10,0,2,1.095,1,13.14,107
다사430439,92,92,개봉2동,3.753,1,5,1,1.041,10.153,424
다사403442,47,47,수궁동,2.088,0,2,1,1.041,4.256,995
다사414443,376,376,오류1동,2.897,0,4.5,1,1.041,7.7,650
다사408435,293,293,오류2동,8.826,0,3.5,1.095,1,13.497,91
다사457442,375,375,구로2동,4.412,0,1.5,1,1.041,6.154,807
다사417428,441,441,오류2동,3.739,0,4,1.095,1,8.474,576
다사453442,552,552,구로2동,0.041,0,2,1,1.041,2.125,1194
다사414431,300,300,오류2동,6.963,0,4,1.095,1,12.004,244
다사447439,622,622,구로1동,4.635,0,4.5,1.095,1,10.003,437
다사453459,166,166,신도림동,9.985,0,3.5,1.095,1.041,15.371,10
다사414446,230,230,오류1동,10,0,2.5,1,1,12.5,200
다사403449,11,11,수궁동,10,0,1,1,1.041,11.451,302
다사417449,261,261,개봉1동,0.38,0,4.5,1,1,4.88,928
다사400438,86,86,수궁동,6.765,0.555,4.5,1.095,1,12.943,169
다사428453,15,15,고척2동,0.432,0,1,1,1,1.432,1277
다사431440,346,346,개봉2동,7.174,0,4.5,1,1,11.674,285
다사454459,2058,2058,신도림동,7.932,0,4.5,1.095,1,13.613,84
다사417422,317,317,오류2동,5.022,0,4,1.095,1,9.879,454
다사452432,N/A,0,가리봉동,0,0,1.5,1,1,1.5,1261
다사409446,433,433,수궁동,9.714,0,2,1,1,11.714,280
다사431442,12,12,개봉1동,10,0.455,3.5,1,1,13.955,61
다사428442,497,497,개봉1동,10,0,4.5,1.095,1,15.878,4
다사454443,121,121,구로2동,2.204,0.5,2.5,1,1.041,5.417,871
다사459438,345,345,구로2동,2.531,0,3,1.095,1.041,6.305,792
