gid,lbl,val_200,d_name,cctv_mod,g2_env,g3_flow,w1_female,w2_dandock,index_k,index_rank
다사462437,50,50,구로4동,0.611,1,4,1,1.041,5.841051,1020
다사399421,559,559,항동,10,0,1.5,1.095,1,12.5925,347
다사412444,228,228,오류1동,7.732,0,3.5,1,1.041,11.692512,475
다사428439,554,554,개봉2동,0.282,0,5,1,1.041,5.498562,1050
다사424440,591,591,개봉2동,3.715,0,3.5,1.095,1.041,8.224342425,821
다사439449,400,400,고척1동,2.392,0,3,1,1.041,5.613072,1039
다사460428,310,310,가리봉동,0.115,0,2.5,1,1.041,2.722215,1328
다사462434,782,782,구로3동,5.197,0,5,1,1,10.197,661
다사417440,251,251,오류1동,7.832,0,3.5,1.095,1,12.40854,398
다사421448,211,211,개봉1동,4.221,0.645,3,1,1.041,8.188506,827
다사436443,348,348,고척1동,10,0.28,2,1.095,1,13.4466,268
다사427429,1379,1379,개봉3동,7.14,0,5,1,1,12.14,417
다사430451,444,444,고척2동,3.215,0,3.5,1,1.041,6.990315,914
다사456453,22,22,신도림동,10,0,1,1,1.041,11.451,509
다사422451,261,261,개봉1동,9.946,0.455,3.5,1,1.041,14.470941,171
다사456429,300,300,가리봉동,0,0,2.5,1,1.041,2.6025,1334
다사447445,166,166,구로1동,7.788,0,3,1.095,1,11.81286,466
다사426435,502,502,개봉3동,1.706,0,4.5,1,1.041,6.460446,968
다사405445,375,375,수궁동,4.871,0,4.5,1.095,1,10.261245,649
다사431451,902,902,고척2동,8.499,0,4,1.095,1,13.686405,232
다사461433,784,784,구로3동,9.426,0,5,1.095,1,15.79647,74
다사434440,255,255,개봉2동,2.163,0,4.5,1.095,1,7.295985,896
다사414437,559,559,오류2동,10,0,1,1,1,11,559
다사424446,524,524,개봉1동,8.469,0,3.5,1.095,1,13.106055,305
다사430445,336,336,개봉1동,0.569,0,2.5,1,1.041,3.194829,1279
다사434454,348,348,고척2동,8.254,0.94,5,1,1,14.194,197
다사404423,447,447,항동,10,0,1.5,1.095,1,12.5925,347
다사427438,693,693,개봉2동,1.448,0,4.5,1.095,1,6.51306,960
다사432433,617,617,개봉3동,1.725,0,4.5,1,1.041,6.480225,964
다사448452,483,483,구로2동,10,0.25,3,1,1,13.25,282
다사457457,257,257,신도림동,5.407,0.835,5,1,1,11.242,538
